,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
3417,YDR376W,401346658997859.2,,25.737462946730943,200673329498942.47
4520,YGL052W,388779766258904.5,,223.41223919165168,194389883129563.97
6158,YGR100W,548785816444524.06,9.07781881018554,26.986220146579267,182928605481520.03
2109,YDR157W,,351745156347065.75,24.602518834825265,175872578173545.2
3144,YLR445W,49.50220311424826,,343907005865288.8,171953502932669.16
2853,YOR393W,83.32757774243842,499180100579088.25,75.67922067900545,166393366859749.1
2163,YNL173C,27.90414145127033,480131439248866.94,762.4442531585672,160043813083219.1
4502,YPL119C,27.289257398243745,52.045066390004905,454366782340490.4,151455594113523.22
5378,YOL154W,42.92654007355101,403757940680179.06,43.57357496921764,134585980226755.19
4768,YNR064C,24.332884222385463,376330892948811.94,187.11114208976025,125443630983007.8
4012,YAL060W,33.71574986969306,370736340165413.56,69.53141684215552,123578780055172.27
2531,YKL199C,331446640286448.4,59.39166064661702,163.6979584073259,110482213428890.48
22,YKL022C,43.95231088531304,321648326992861.7,33.103795457798086,107216108997646.25
6135,YDR535C,196691176475358.75,,61.215341548186565,98345588237709.98
2454,YIL155C,85.29117028702757,293739436917768.1,85.2979679311362,97913145639312.92
6156,YLL064C,3.741706289908825,260875805074534.78,17.728670893875112,86958601691518.75
341,YDR201W,52.50023963446384,249913307686735.25,4.679295189403052,83304435895597.48
5003,YHR079C,6.932705731592759,228942453453157.44,9.908736174942863,76314151151058.1
3533,YER135C,44.67148400620543,215805842307167.66,36.20325950825309,71935280769082.84
5332,YHR015W,56.86886441102224,143503691392196.44,,71751845696126.66
3663,YKL103C,66.48250809753941,,137730763151691.25,68865381575878.87
6111,YIR040C,57.826736307523625,204044016258730.94,122.36325611095543,68014672086303.71
2358,YDR214W,43.184454237892375,88.46309462943651,201095194034038.25,67031731344723.305
4148,YGR250C,272.03295814792295,261.7120430011459,181318420451467.62,60439473484000.46
230,YOR347C,,100693972573616.22,1929675750438.5513,51311824162027.38
1469,YKR073C,54.29473820837112,,99866847792565.53,49933423896309.914
4696,YKL011C,24.523997690742988,9533666465211.309,138168911399549.97,49234192621595.27
5503,YLL055W,87.21623394994332,143606638218528.28,107.02402333461379,47868879406240.84
3203,YDL039C,483.1859419060891,119658034278206.78,177.29135187109912,39886011426289.086
713,YDR364C,266.2810075486492,117695841615023.1,2.1247296360667702,39231947205097.164
4531,YKR023W,86.24238266471119,105887042652825.14,3.3390129099758705,35295680884304.914
5170,YCL048W,36.746269506047106,91573822846088.28,51.80417986291465,30524607615392.277
3341,YOR317W,123.40376335462194,80180829699834.28,163.42202809870412,26726943233373.703
1413,YJL207C,53145513553087.11,,54.287014515828226,26572756776570.7
5990,YJL170C,29.366233076914387,59322509172114.43,100.6916340414684,19774169724081.496
4203,YGR107W,64.04658418466181,55577579945296.1,49.632853166939746,18525859981803.26
2571,YNL157W,80.10754024877096,55459211261347.55,49.575602076769094,18486403753825.746
4383,YKR002W,261.6132858800622,54263051600712.15,47.30832672906294,18087683867007.023
2266,YNL013C,31.256158215238713,53261877955196.34,85.93465288116805,17753959318437.848
3846,YDR383C,51681854627976.98,11.544104918821535,55.301557627412855,17227284876014.61
4482,YNL036W,99.21901301428039,,30735302381745.773,15367651190922.496
497,YPL174C,140.81451643808163,43516475581880.86,3.7113150110510658,14505491860675.127
5346,YKL162C,66.21054980789921,41410397221010.266,53.447387318585214,13803465740376.64
1503,YMR251W-A,58.32123990892333,25677545141881.59,,12838772570969.955
6054,YER185W,17.96776195874338,37386572240996.27,37.683506256428046,12462190747017.307
4933,YNL286W,23.703456934973314,35080488418417.68,56.88192974893856,11693496139499.422
1121,YML013C-A,58.414281665876935,33388707756797.52,27.549934501902793,11129569252294.494
3675,YMR036C,54.274698470018365,32605408793401.91,70.80038834317979,10868469597842.328
1864,YNL242W,33.854128734760934,24288584831899.15,38.80124956334674,8096194943990.602
3614,YOL107W,107.82743091864835,22963036957221.566,29.38617039733349,7654345652452.927
6101,YIL172C,69.04833918003945,22739188473623.96,128.78118198376276,7579729491273.93
3420,YML041C,243.5554091645904,21536765494124.555,30.66668148990922,7178921831466.259
4633,YDL151C,75.10610648211008,21019697557169.816,11.711817180080239,7006565852418.878
3722,YHR191C,84.89436623982931,20596057991028.15,29.99342905947772,6865352663714.345
3853,YLR308W,35.03583363025864,18913056810857.03,61.95786531939311,6304352270318.008
5688,YOL164W,25.243304693127936,17326035582748.715,18.616955242970224,5775345194264.192
3800,YLR149C,18.762735326812216,16921888567398.914,147.17670310900905,5640629522521.618
1898,YDL220C,22.77792587285726,16639699330725.145,87.14202886795155,5546566443611.688
3476,YPL200W,31.52516683094959,16130105481642.033,101.84332881143612,5376701827258.468
337,YGL093W,169.36230828213644,9910518906949.275,,4955259453559.319
714,YDR088C,,,4756509875183.7,4756509875183.7
5992,YDL024C,41.88799483288179,13968679080252.832,256.22681891327494,4656226360183.649
3768,YAL048C,63.13797047961053,11111386333063.479,43.64296319656097,3703795444390.0864
2840,YMR196W,68.13546541484533,9227575707563.17,40.677158383367306,3075858569223.994
4380,YPR015C,19.7593111097718,,5718410598278.975,2859205299149.367
4879,YPR192W,98.72811365286954,8238384615552.724,48.331939131148125,2746128205233.261
2159,YML032C-A,30.015131652333775,5.632755371772669,8103572768046.249,2701190922693.9653
4890,YDL175C,44.017588133055646,7660776142170.1045,30.05501262844563,2553592047414.7256
4571,YDR336W,89.6866427203283,1.2703636845413944,7660483597681.124,2553494532590.694
6084,YIL099W,54.41347058602572,7423792779369.56,61.931338181447536,2474597593161.9683
2890,YJL047C,37.720853133864985,7369561850536.29,32.2634262035996,2456520616868.7583
3805,YPL186C,40.40977462329932,6371248070766.747,35.93684012099082,2123749356947.698
2567,YPL185W,85.74964967949118,5526600410576.912,35.521887041169634,1842200136899.3945
11,YML100W,,3474524879427.319,58.128543220062184,1737262439742.7236
5902,YAR033W,,3294776250128.646,25.072616741627762,1647388125076.8594
1370,YDR168W,74.38882657937422,4432837062126.407,23.932649705561527,1477612354074.9094
4467,YMR253C,28.087476083757995,9.191657116641224,3243269734481.724,1081089911506.3345
3044,Q0070,87.6742359017383,3236872041863.718,199.74828129275508,1078957347383.7134
1095,YER179W,112.59097184880858,2811589607178.541,34.630054910479316,937196535775.2539
4348,YPL281C,146.85795424680654,2258521241840.1665,64.55383332919564,752840414017.1927
5306,YGR142W,30.787057037485145,2085439034377.3193,33.03066295056251,695146344813.7124
3788,YHR021W-A,73.20082048155622,1630927898458.2268,49.14474073054647,543642632860.19086
2323,YOR121C,42.390882576072016,1329058265671.4126,80.75745300159916,443019421931.5203
51,YGR088W,377362156030.0557,,,377362156030.0557
1155,YLR058C,56.16396879836489,1030276691250.6823,39.96156033699225,343425563782.2692
1836,YPR164W,32.654439275628754,1005184132977.4514,18.59685377938587,335061377676.2342
2934,YOR382W,34.65436063255236,818326206640.5315,35.28119826891635,272775402236.8224
314,YJL089W,789563466039.8463,102.83087723037572,38.818703183787896,263187822060.49866
5237,YKL050C,137.65812156931221,741071746708.1062,43.266484698784005,247023915629.6769
5766,YDL021W,143.6124570395737,,168713815035.85165,84356907589.73206
3597,YGL121C,40.65168121305585,154774246228.94202,38.993975738874305,51591415436.19589
5248,YOR024W,92.06690134120674,,420937686.2973548,210468889.18212807
5776,YHL024W,55.200557221729035,108206.91801432999,169.88332329102244,36144.000631614246
1665,YOR027W,6279.306687147122,,,6279.306687147122
2969,YGR178C,18712.47411794644,69.58557759370726,29.763690343002175,6270.607795294384
5713,YGR236C,439.898209659519,,8162.467990200798,4301.183099930158
3399,YGR233C,21.97400552277879,7686.2758941685925,16.66993997688658,2574.9732798894192
1151,YMR186W,91.15272659328835,4888.832775354095,,2489.9927509736917
4558,YGR016W,28.69699629976684,4526.651753001255,20.155217092988856,1525.1679887980035
2053,YDR159W,,2952.046342159858,11.175340480233293,1481.6108413200457
1873,YEL030W,,2397.7451116805564,62.2417982259732,1229.9934549532647
5436,YGL170C,114.39696091498931,3456.855799941459,83.24020872716818,1218.1643231945388
2730,YPR160W,217.2262876967745,,2154.1503499926844,1185.6883188447293
5124,YMR048W,41.82462496599497,3241.020523742167,40.708831454076005,1107.851326720746
4939,YGR290W,2051.300640022761,,41.59782568955722,1046.4492328561591
3353,YOR297C,65.87624672565859,2799.8716060983083,172.54653708825788,1012.7647966374084
5084,YKR032W,58.80663997095793,,1823.290671116539,941.0486555437485
3698,YPL148C,109.5687219131219,2633.203779488043,67.2800880805253,936.6841964938967
4710,YNL226W,50.84750437147443,,1725.522765327352,888.1851348494133
2068,YDR503C,112.16668286295697,2495.6582935228994,13.126872079709736,873.6506161551887
5441,YBR168W,2368.8491866081977,159.6061613527558,69.0471187817945,865.834155580916
5994,YIR013C,,,841.1517829295842,841.1517829295842
2533,YLR162W,56.90806712607262,1452.6506837098718,1003.6430350385233,837.7339286248225
4681,YBR209W,39.911428754122,2389.408361803157,32.382431023345305,820.5674071935414
3979,YNR058W,45.77814015465458,2331.9028564919295,29.785386415236303,802.4887943539401
3368,YBL064C,220.88906229766047,,1378.1346380902146,799.5118501939376
4487,YCR010C,1262.1040459661144,964.4458717263363,109.98827560066584,778.8460644310389
4093,YNL028W,54.39700965320207,2167.823098076643,57.93256199249434,760.0508899074465
5760,YDR515W,1236.9133546931848,,171.66713039627794,704.2902425447314
4063,YDR401W,100.77084328368552,1908.9176301485018,67.15323080534576,692.2805680791777
5842,YER187W,10.050489337313111,1963.507450039015,29.55346413737748,667.7038011712352
5721,YAR023C,66.35169559085621,,1255.2983159979608,660.8250057944085
3814,YIL080W,88.34852652736747,1776.6047249640892,13.35158165219635,626.1016110478844
3015,YDL091C,70.57252480594661,1722.3397676165373,52.72781655037653,615.2133696576201
3978,YER104W,262.51155679595934,1521.1973937073626,47.548187334383044,610.4190459459016
4032,YOL162W,1063.963044640755,,146.56662218619138,605.2648334134732
1552,YKL035W,187.09973220153614,,1019.3630210214241,603.2313766114801
5564,YHL043W,1125.0444676713912,,55.82290741597515,590.4336875436832
5548,YIR018W,1151.257223293314,,27.33744180852486,589.2973325509194
1037,YIR017C,1119.232540080943,,5.160193731574615,562.1963669062587
4993,YDL110C,33.643517026232004,1567.682570139768,53.95629853248477,551.7607952328283
3613,YNL008C,250.9022248676632,,823.9473365445356,537.4247807060993
3218,YMR110C,703.9852541780687,796.6905701927312,68.8560930284622,523.1773057997541
2771,YOL134C,883.0156811130586,,95.07979552814228,489.04773832060044
716,YBR152W,102.312864950866,1270.6663898077672,1.621302597431882,458.200185785355
1292,YMR251W,,709.2113670862062,179.6866042349696,444.44898566058794
4443,YDR370C,990.9491301672965,245.26429945453881,65.65051538356663,433.954648335134
1461,YKL086W,82.03021608406475,1164.0800604727463,36.000421013383985,427.37023252339833
1193,YDR077W,64.22034412786594,778.5439678190029,,421.3821559734344
5692,YCL026C-A,52.87045513084587,7.0723018486543765,1147.5124494687393,402.48506881607983
3405,YDR016C,53.38791868994099,1089.7167964746357,37.97996891121079,393.69489469192916
2364,YMR010W,14.707113089797435,948.5997512649054,205.47600136199213,389.5942885722316
2712,YMR153C-A,41.35422462033001,1083.6558555354707,32.95882097116106,385.98963370898724
4149,YGR199W,54.25475709600143,1049.5206453244314,46.253365899501155,383.34292277331133
5951,YHL045W,503.0779293614347,,263.0333867656858,383.05565806356026
4658,YLR013W,87.9281304224994,,671.1024847788277,379.51530760066356
3874,YEL010W,54.44082063181325,957.2160272081653,106.78556569904727,372.81413784634196
2652,YFL017W-A,74.77929848150072,1011.3251058813079,27.431577873909127,371.1786607455726
5854,YBR050C,,635.8763647022591,80.54582130078245,358.2110930015208
1168,YPL240C,357.5221109091352,,,357.5221109091352
3980,YMR278W,86.00204645459117,893.8164613894351,78.98986526173395,352.9361243685867
1764,YBR116C,649.1885356539584,,53.87175885449008,351.53014725422423
4442,YLR282C,,,351.4383423478996,351.4383423478996
1423,YLR216C,83.855219205786,,616.8793203010244,350.36726975340525
4278,YOR298W,337.66592184488894,,,337.66592184488894
2464,YDR274C,65.30856683178018,53.82411233114227,879.3767189519698,332.83646603829743
2756,YLR168C,91.28249404929475,870.8222612997901,33.24055724947508,331.7817708661866
4401,YPL257W,38.95979595489361,,622.9728937449033,330.96634484989846
1488,YMR316C-A,60.750121182077386,883.4869892062129,36.52609310520789,326.92106783116606
579,YJL041W,42.06688236356438,899.8150553527497,32.07074637375856,324.65089469669084
2753,YDR150W,868.0438769383426,68.3457233499339,33.43193811437548,323.2738461342173
2483,YPR154W,58.54836159058689,378.76082251885254,518.110624214271,318.4732694412368
3606,YLR178C,316.1408529412907,,,316.1408529412907
4276,YOR374W,312.0357148884591,,,312.0357148884591
5039,YHR061C,107.90384194329077,758.8966542122077,53.97590005932316,306.92546540494055
4444,YDL161W,,248.83222011857316,361.41142387974264,305.1218219991579
4438,YOR387C,158.2325921322921,695.5653008714102,55.07406020357618,302.9573177357595
2094,YBR047W,,,299.42235931251844,299.42235931251844
4260,YPR109W,553.3341668971257,,43.386402611055125,298.3602847540904
3305,YER066C-A,105.42597152483697,642.8088632522762,142.3958892110777,296.8769079960636
2610,Q0055,48.290660989147256,752.8629049633782,40.898476907908275,280.68401428681125
6118,YGL158W,70.33271207709048,,487.7977755064163,279.0652437917534
2226,YOR166C,515.8524822886732,,41.38758612807322,278.62003420837317
3084,YOR152C,34.26064571165573,758.6594149369629,42.0438123026084,278.32129098374236
5044,YKL048C,484.55717300378853,39.03690896755474,282.22245167636663,268.6055112159033
4745,YER079W,505.77886824235577,,22.034270768029682,263.90656950519275
2283,YMR103C,137.5363432578925,,380.0919220629166,258.81413266040454
3630,YGL136C,40.72879074043842,674.4524612993773,60.25236603726796,258.47787269236125
5473,YLR392C,494.07904814971437,173.66857037543895,105.45270035850275,257.73343962788533
5805,YER106W,167.1090603908719,,342.35525200383626,254.73215619735407
2204,YAL037W,451.52184269361703,,52.00329870716442,251.7625707003907
3334,YDL200C,44.45922237003584,660.8104153514156,39.13453955127332,248.1347257575749
5613,YNL093W,401.56452728564557,,91.66052169250324,246.61252448907442
4596,YIL168W,451.9194655203958,,35.199541699752615,243.55950361007422
5704,YNL274C,103.62106541431349,443.48641983589863,182.14340485131387,243.083630033842
5035,YNR002C,112.36965157545404,582.1317705684685,33.065006183376155,242.52214277576624
3981,YLR385C,31.868928608374762,62.23317195399368,625.4841979279925,239.86209949678698
622,YHR118C,58.949796357623164,,417.85279264630174,238.40129450196244
5844,YOL153C,100.02395310369631,515.9474745210255,90.72460560938197,235.56534441136787
4886,YML047C,440.7857177872417,,28.20256602024981,234.49414190374577
2622,YNL120C,44.45818074539199,424.46109467096346,,234.45963770817772
4895,YER053C,62.22796712870425,,401.4773891227093,231.8526781257068
2136,YNR047W,665.4694799718576,15.282176026759478,5.816127071225915,228.85592768994763
5749,YHL021C,40.830814690204065,,413.02057280983564,226.92569375001986
3243,YOL087C,142.54485203193897,493.1581682431429,42.37779855186256,226.02693960898148
2403,YPR007C,31.378814876787224,,419.492861475146,225.4358381759666
4549,YLR279W,296.6004994838151,,149.68312927274806,223.1418143782816
229,YAL038W,45.754220520180716,398.3545500988658,,222.05438530952324
3278,YPR077C,173.84861441019578,,268.96511095260905,221.4068626814024
5188,YLR035C,140.0227344989104,482.84669980454703,40.16268926121414,221.0107078548905
5169,YPL279C,68.92425430276413,567.3615850988591,26.51077715645454,220.93220551935926
5023,YOR160W,51.524156211536365,539.0849597396106,67.22583580947227,219.27831725353974
5956,YJL105W,541.9670238187259,46.31990278784554,69.2260720553555,219.17099955397566
3247,YOR376W,109.15353834143323,214.22513813074553,331.66597971334915,218.3482187285093
6023,YHR139C,44.59934070342143,,386.4046979983885,215.50201935090496
3125,YPL152W,125.9362513599099,431.34041264870353,87.7843480800082,215.02033736287387
3041,YML070W,79.9763472078386,494.3002100047463,65.384143337022,213.22023351653561
5627,YIR009W,406.1335369482833,,19.709720475886062,212.92162871208467
5764,YKR039W,42.68741750195633,556.5286734855131,27.99600578037222,209.0706989226139
4060,YBR174C,117.09261906954579,,296.37263387264755,206.73262647109667
5982,YJR149W,359.3257022608472,47.928258087939966,212.43010520545138,206.5613551847462
2932,YGL037C,317.45224056251453,,86.35451242378365,201.9033764931491
2999,YBR066C,135.5221382885692,255.67985884566107,,195.60099856711514
4107,YLR245C,50.06918747943731,440.2759046894899,93.51682275098314,194.62063830663678
4707,YEL057C,151.06511688337898,357.53618759207336,68.19697330085563,192.26609259210264
2420,YHR136C,296.180070035693,,87.1834500635983,191.68176004964565
3517,YOL083W,148.1525051959508,347.85206688952746,77.09349130153835,191.03268779567222
2582,YPL005W,51.67972458465657,457.43910289231076,61.43746185543977,190.18542977746904
1140,YLR134W,73.07726551957647,306.30918907267727,,189.69322729612688
1750,YMR169C,38.23568219757281,370.34735815860046,154.3952312182467,187.65942385814
5603,YER044C-A,279.3959025583959,,94.01612430928817,186.70601343384203
598,YER094C,,,185.01132288801517,185.01132288801517
4975,YIL073C,33.74682071336369,458.80991334643767,60.02694219184915,184.19455875055016
2883,YBL101W-B,53.38123483675051,449.471990282331,46.300192366263325,183.0511391617816
5677,YGR226C,179.65994481171384,,184.7663244650055,182.2131346383597
1785,YGL215W,114.02724942982857,402.34466044966484,28.57905056546936,181.65032014832093
4719,YDR095C,33.0176542260624,471.77393271225696,38.098431069858435,180.96333933605925
2494,YAL017W,147.1070602237089,335.811587356113,57.86485454430105,180.26116737470764
3017,YMR028W,23.28882108219696,,335.26718704742825,179.2780040648126
2279,YDR275W,32.41828553054666,325.003224046129,,178.71075478833782
2630,YLR302C,183.34256834279492,305.8834955173559,44.89051263411664,178.03885883142246
2680,YPL245W,443.0966395418018,52.3498766917628,36.98762982980325,177.47804868778928
1268,YLR259C,95.35960523195968,381.302564386668,51.137246677103455,175.9331387652437
4718,YKR049C,56.48640609774685,439.90848396625404,30.909187483715712,175.76802584923885
5153,YDR317W,314.97090925908935,,35.09039384916288,175.0306515541261
5800,YHR102W,49.62467400049401,87.01421166315781,384.79222816301467,173.81037127555547
663,YMR061W,173.3333236000014,,,173.3333236000014
5794,YDL169C,40.83175993306139,305.0892374701032,,172.9604987015823
454,YMR092C,244.72774987605226,164.86742390116396,109.1700657075313,172.92174649491585
3519,YAL067C,394.36710098936766,61.53089919392228,62.359840273730626,172.7526134856735
4628,YIR032C,51.61749066734769,434.7445163074237,30.13666288129657,172.16622328535598
5787,YMR206W,130.21507687997916,213.9024715951799,,172.05877423757954
5353,YIL132C,50.53538961884635,,293.2653981420225,171.90039388043442
3377,YDR340W,107.35748264947108,378.7793132469556,29.55193705690814,171.89624431777827
5768,YGL156W,82.88666811273667,267.82441377350557,163.74788445942107,171.48632211522113
6114,Q0115,34.99598088610706,307.7474622482817,,171.37172156719438
5107,YHR116W,44.439491819323955,433.9752396561286,34.53063978141691,170.9817904189565
4104,YNL187W,170.6388552735005,,,170.6388552735005
1880,YOL037C,29.523030487526047,311.2571684577958,,170.39009947266092
4307,YBR076W,36.44981247429742,374.70919244022434,88.9089882114472,166.68933104198965
5580,YOR228C,383.8436069416293,17.20395283168125,95.65376769309721,165.56710915546924
4637,YMR082C,193.66763665701768,,135.86209023991069,164.76486344846418
5523,YBR063C,75.87788118361759,385.4455454023943,29.03703853040701,163.45348837213965
4414,YMR252C,253.11336430280784,,72.05886176390179,162.58611303335482
4078,YLR157C,168.3727275726218,,156.39762716339308,162.38517736800745
3054,YGL193C,100.43223670983032,341.69599922241184,44.08284551308717,162.07036048177645
5773,YEL069C,71.978672030107,,250.94944167179216,161.4640568509496
5908,YLR156W,160.690563977169,,,160.690563977169
4178,YAL054C,53.64160654083555,63.80636718274272,363.51430833773156,160.32076068710327
5313,YHL041W,249.85904227598766,,69.40997819246384,159.63451023422576
964,YLR439W,63.986460763219284,,254.3845178129537,159.1854892880865
1246,YPR149W,56.25838948669162,389.07289619827685,31.853454998022734,159.06158022766374
2980,YJL022W,78.54249013503167,357.77221292336384,40.61424964882739,158.9763175690743
5379,YCR063W,27.945997074424977,404.4577312612863,44.28353141693685,158.8957532508827
