,gene,hl_rep1,hl_rep2,hl_rep3,hl_avg
1547,YNL114C,6.888399566978827,5.834521814340349,7.374400896229973,6.699107425849717
3922,YCR057C,7.9795129673638145,5.942825947768493,6.181477549386629,6.7012721548396454
2799,YBR155W,,6.372617690030209,7.063720814067606,6.718169252048908
632,YBR278W,9.029160200191463,5.677059482142311,5.455118142786293,6.720445941706689
206,YDR224C,7.28362596230107,5.695429398378988,7.278046521285465,6.752367293988507
5746,YMR275C,,4.953480584525669,8.56870263594912,6.7610916102373935
928,YKL156W,,7.205520977196692,6.333511675067433,6.769516326132063
515,YGL112C,7.082597045305705,6.066746384436633,7.249629729971541,6.799657719904626
667,YLR115W,8.806329630923136,,4.795086443848121,6.800708037385629
363,YNL248C,9.373731514753842,5.159928165909635,5.888399826056343,6.807353168906606
5320,YML088W,8.43562433928866,4.902403656630513,7.100593377475761,6.812873791131644
4884,YMR277W,,5.381287050346044,8.254900210026609,6.818093630186326
6148,YHR054C,4.770303079679511,,8.874901224033477,6.822602151856494
1055,YDR073W,,,6.832088253797195,6.832088253797195
1913,YER156C,7.445397967857089,4.963890799666163,8.117878244968965,6.8423890041640725
325,YDR113C,9.461625993048008,,4.225656449706147,6.843641221377077
557,YLR026C,7.563262661254152,9.186117171556797,3.801033299450132,6.850137710753693
6122,YEL076C,14.064496392735853,1.8627819856352856,4.679515742368115,6.868931373579751
1341,YOL077C,7.048547369166555,4.879733839537937,8.797237740868747,6.908506316524413
1994,YDR449C,,3.226665377666556,10.714531719940439,6.970598548803498
132,YMR263W,10.577337150747086,3.950140173086742,6.3893428055202355,6.972273376451355
2309,YDR413C,,6.331772531251158,7.613119227272386,6.972445879261771
3756,YNL313C,6.491451852035882,6.487120728023602,7.986751363740785,6.988441314600091
1358,YDL182W,5.034031139082355,6.142141797114193,9.80283289976946,6.9930019453220025
2223,YKL004W,6.693578970297376,6.768026505648765,7.523848714719937,6.995151396888693
5262,YFL025C,,5.280304196912426,8.755337272941517,7.017820734926971
4946,YCL067C,4.090392836400956,8.880865591405655,8.121464170012631,7.030907532606413
6033,YBR294W,4.144528882454787,,9.998208575953116,7.071368729203952
4542,YMR055C,,4.993569879828167,9.15949307477998,7.076531477304074
523,YJR005W,9.728015322531052,4.504084885346604,7.0352389042944266,7.089113037390693
2284,YOR243C,8.651101920693264,5.046572456713498,7.597465757590121,7.098380044998962
69,YPR120C,9.360318414804437,,4.92271617895229,7.141517296878364
1311,YKL009W,10.8909771193637,2.9930702272007137,7.582616558265077,7.155554634943164
393,YBL025W,,,7.201560542593798,7.201560542593798
228,YHR013C,,6.948864404259657,7.488755666726686,7.2188100354931715
3152,YML031W,10.418395323096092,4.1754724081291466,7.092616589203297,7.2288281068095115
97,YGR078C,11.805507557762194,5.695078909753592,4.273540373569596,7.258042280361795
211,YBL003C,,5.582841999272939,8.975277348153169,7.2790596737130535
5451,YLR057W,,,7.289309481805288,7.289309481805288
2015,YKL178C,5.057709029889114,5.795924737713487,11.017166756407532,7.290266841336712
1482,YHR143W,,4.8231288056950214,9.772552904559483,7.297840855127252
67,YPR119W,11.754085005168792,,2.88704516523729,7.320565085203041
1296,YJR070C,7.675259352915649,5.945332087994483,8.341885440304441,7.320825627071525
373,YPR190C,,5.261442656718629,9.384984117093861,7.323213386906245
1161,YLR355C,5.554011500393456,6.496730111462066,10.087567150227583,7.379436254027702
241,YGR056W,8.509187731717484,5.404930825285918,8.227144112347188,7.3804208897835295
6105,YHL046C,4.628862473426607,,10.203950259079287,7.4164063662529465
4437,YAR018C,,6.096774912921882,8.75573924204623,7.426257077484056
838,YBR031W,8.602374021438962,6.93009022948685,6.824205693145235,7.452223314690349
1427,YOR206W,7.391356720545496,5.294494547579736,9.698573094954998,7.461474787693409
1612,YDR361C,,5.971585347310555,8.951480692484806,7.46153301989768
176,YOR045W,,5.84653263738868,9.107574254494384,7.477053445941532
492,YPR141C,8.117289934189785,,6.8470771812125975,7.482183557701191
4038,YMR179W,11.590529558188031,6.977196047430286,3.893680836415872,7.487135480678063
4670,YGR009C,6.731706049835549,5.989810627251346,9.744299598582774,7.4886054252232235
564,YOR327C,,7.133376914614874,7.852627611761535,7.493002263188204
850,YDR012W,8.257714398306122,6.586293951785816,7.6461280729019725,7.49671214099797
5574,YDL013W,,4.750249056246302,10.257930711212548,7.504089883729425
5184,YBR153W,,6.44585136457764,8.568494282793731,7.507172823685686
2386,YML093W,,7.840837704352981,7.1937191168787065,7.517278410615844
1952,YNL216W,,,7.517872853611951,7.517872853611951
6104,YCR102C,,,7.5219539491886325,7.5219539491886325
54,YDR188W,9.828728879517586,6.966549958986182,5.782580978905539,7.52595327246977
732,YLL008W,,9.094776995599155,5.986984745294727,7.540880870446941
1042,YER159C,12.345202541722344,5.489919104175681,4.8142271690613,7.549782938319775
301,YLR382C,,,7.553850847100336,7.553850847100336
785,YPR163C,6.869558365334459,7.750344014145041,8.205393437464105,7.608431938981202
197,YER107C,,,7.615768055323218,7.615768055323218
4021,YMR285C,,5.32270239681693,9.912130063467119,7.617416230142025
6003,YIL177C,9.996820393138348,7.77111614017769,5.102254054253218,7.623396862523086
5913,YER084W,,5.834335086110745,9.456808108653524,7.645571597382134
4922,YDR348C,,7.263517627319482,8.030196561769003,7.6468570945442425
1177,YGR160W,9.540690105745254,3.738713817128071,9.669198656677525,7.649534193183617
290,YER070W,11.043795112273237,5.77524999540301,6.170968146743951,7.663337751473399
2140,YOR320C,7.884400747746988,5.867760563813779,9.239399352606384,7.663853554722384
2885,YLR380W,,7.255794543700369,8.115131360450352,7.68546295207536
4274,YOL125W,,6.3504213110582475,9.045908328094686,7.698164819576467
1158,YLR198C,6.754062172892263,5.125895150322849,11.229859824321277,7.70327238251213
1366,YLR009W,12.056778589191746,3.8464148015397237,7.248223346193979,7.717138912308482
401,YGR005C,,,7.719658305170615,7.719658305170615
1929,YDL074C,,5.138511114503573,10.31662999225972,7.727570553381646
763,YOR212W,12.141180001704159,3.4505811965276174,7.61251213343549,7.7347577772224225
686,YDL014W,11.537356516806906,6.613080095798746,5.118124230237905,7.756186947614519
30,YML102W,,9.427613419412017,6.105928935748199,7.766771177580108
5481,YDR419W,4.696984986492507,,10.844690432374067,7.770837709433287
4113,YDR494W,,6.816762122864097,8.756389316553422,7.786575719708759
2141,YPL108W,7.994618891847423,8.01442995288947,7.379214992760633,7.796087945832508
3755,YBR092C,,7.040877299977374,8.57898633512316,7.809931817550266
812,YOR063W,7.5203764961353095,8.769396197420328,7.158768872979466,7.816180522178367
2800,YDR297W,7.762970392333843,6.779056921082024,8.90945613446349,7.817161149293118
1597,YAL041W,,5.422441681731336,10.282689039775152,7.852565360753244
5194,YKL059C,5.339688386575104,9.032596068847946,9.245482824232226,7.8725890932184255
4092,YDR121W,,6.446879981507698,9.387787538659465,7.917333760083581
5513,YGR046W,7.125344399870206,5.9924805536587495,10.64796542681331,7.921930126780755
1426,YKL082C,10.118608218971183,5.664872816463246,7.985087407061642,7.922856147498691
1680,YDL201W,11.4473204551001,5.452168258781823,6.8899464221821525,7.929811712021358
5914,YGL114W,14.69235312325558,3.534818037967686,5.570804945187063,7.932658702136777
3118,YPL227C,,,7.937012327622822,7.937012327622822
4375,YOR233W,9.851426352586934,6.218509240794877,7.764786530090281,7.944907374490697
980,YPR110C,10.377495703941733,6.245729532760264,7.246359003606616,7.9565280801028715
4295,YLR401C,12.994119471478122,4.936998532147713,6.015640084111806,7.982252695912546
981,YNL113W,8.73385511800357,9.18626525374459,6.078824992191638,7.9996484546466
3555,YOL115W,,5.913414717572594,10.092047895114955,8.002731306343774
3484,YNR054C,,5.60510720533173,10.419976929462337,8.012542067397034
1676,YER002W,,5.317251007057829,10.712981467908486,8.015116237483157
2741,YGL028C,15.80676690241818,2.7481414115711544,5.498552094385485,8.017820136124941
60,YBL039C,,7.9011767093680705,8.182212491369238,8.041694600368654
1472,YBR215W,,7.166390132910457,8.924900708223662,8.045645420567059
5782,YCR106W,,,8.04583880549182,8.04583880549182
1758,YBL068W,,6.297132936190114,9.875055588160656,8.086094262175385
2818,YOR001W,9.782167002611944,5.86829411239698,8.624621081429703,8.091694065479542
5219,YIL002C,,7.432398967061183,8.764225511285652,8.098312239173417
3526,YGL077C,5.745424444995466,8.03246059600978,10.521397979208556,8.099761006737934
1801,YBL032W,8.178508389761493,7.250391422524159,8.884954701492022,8.104618171259226
735,YMR239C,,,8.122699094703659,8.122699094703659
3715,YGL071W,,5.7918899555502215,10.475437782999752,8.133663869274987
1739,YHR196W,9.52425230089094,4.928762258561379,9.951551785298996,8.13485544825044
616,YFR004W,9.187715744523237,9.094012577492604,6.128564934571464,8.136764418862436
985,YHR143W-A,,,8.155824250689076,8.155824250689076
1153,YPL187W,10.155325495180833,5.344332198311078,8.995829071105604,8.16516225486584
1999,YPL044C,12.591551961461253,4.472598276856842,7.47710769499343,8.180419311103842
6043,YJL083W,,,8.186208742207855,8.186208742207855
